Комментарий String; ФИО String; Рейтинг Float; Рейтинг Float; Рейтинг Float; Кол-во_проектов Integer; Дата_рождения Date; Рейтинг Float; ФИО String; Комментарий String; 
Равным образом сложившаяся стр; Петрова Дарина Семёновна; 3,9; 5,85; 5,01; 83; 12.12.2004; 7,98; Фролова Ольга Никитична; Разнообразный и богатый опыт р; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 0,46; 3,9; 0,46; 39; 10.01.2006; 5,82; Ермолаев Михаил Артёмович; Повседневная практика показыва; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 5,14; 1,13; 3,85; 76; 29.09.1970; 4,5; Казаков Матвей Рустамович; Соображения высшего порядка, а; 
Не следует, однако, забывать о; Петрова Дарина Семёновна; 9,9; 3,14; 0,4; 22; 02.10.2019; 5,5; Попов Максим Леонович; Не следует, однако, забывать о; 
С другой стороны новая модель ; Петрова Дарина Семёновна; 3,06; 1,51; 8,33; 57; 10.01.2006; 4,72; Иванова Ева Семёновна; Разнообразный и богатый опыт н; 
Соображения высшего порядка, а; Петрова Дарина Семёновна; 8,19; 8,91; 6,27; 79; 15.04.1986; 5,5; Ильина Василиса Михайловна; Не следует, однако, забывать о; 
Не следует, однако, забывать о; Петрова Дарина Семёновна; 8,19; 9,16; 2,04; 88; 22.07.2000; 3,89; Семенов Константин Кириллович; Повседневная практика показыва; 
Задача организации, в особенно; Петрова Дарина Семёновна; 1,51; 5,99; 5,23; 95; 04.07.1999; 3,89; Пименова Арина Степановна; Не следует, однако, забывать о; 
Дорогие друзья, консультация с; Петрова Дарина Семёновна; 6,22; 8,4; 5,5; 45; 15.05.1991; 8,56; Мартынов Данила Фёдорович; Соображения высшего порядка, а; 
Разнообразный и богатый опыт р; Петрова Дарина Семёновна; 1,0; 8,33; 7,15; 10; 25.03.1985; 7,9; Журавлев Богдан Артёмович; Значимость этих проблем настол; 
Практический опыт показывает, ; Петрова Дарина Семёновна; 7,95; 8,88; 8,4; 85; 15.04.1986; 1,18; Старостина Александра Леонидов; Значимость этих проблем настол; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 4,73; 6,6; 7,98; 89; 09.07.2009; 4,61; Мартынов Данила Фёдорович; Повседневная практика показыва; 
Таким образом, постоянное инфо; Петрова Дарина Семёновна; 9,9; 1,0; 7,95; 10; 29.09.1970; 2,09; Григорьев Михаил Кириллович; Дорогие друзья, постоянный кол; 
Дорогие друзья, постоянный кол; Петрова Дарина Семёновна; 8,19; 0,03; 4,29; 29; 15.05.1991; 8,33; Платонова Таисия Александровна; Соображения высшего порядка, а; 
Повседневная практика показыва; Петрова Дарина Семёновна; 3,06; 0,03; 0,4; 45; 15.02.2002; 4,04; Ильина Василиса Михайловна; Соображения высшего порядка, а; 
С другой стороны новая модель ; Петрова Дарина Семёновна; 5,25; 7,15; 9,16; 12; 29.09.1970; 6,6; Максимова Вероника Михайловна; Соображения высшего порядка, а; 
Равным образом сложившаяся стр; Петрова Дарина Семёновна; 7,73; 1,51; 7,9; 45; 02.10.2019; 0,46; Андреев Константин Денисович; Таким образом, постоянное инфо; 
Задача организации, в особенно; Петрова Дарина Семёновна; 5,82; 6,28; 6,5; 85; 10.01.2006; 4,72; Селезнев Георгий Артёмович; Равным образом дальнейшее разв; 
Повседневная практика показыва; Петрова Дарина Семёновна; 6,27; 8,4; 1,02; 39; 11.05.1990; 1,0; Морозов Олег Максимович; Равным образом дальнейшее разв; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 6,9; 4,73; 3,06; 79; 13.08.2011; 5,5; Кононова Сафия Тимофеевна; Равным образом сложившаяся стр; 
Повседневная практика показыва; Петрова Дарина Семёновна; 0,06; 1,0; 8,88; 81; 29.09.1970; 7,15; Мартынов Данила Фёдорович; Повседневная практика показыва; 
Практический опыт показывает, ; Петрова Дарина Семёновна; 7,95; 4,72; 8,33; 95; 23.09.1987; 0,93; Фролова Ольга Никитична; Разнообразный и богатый опыт н; 
Задача организации, в особенно; Петрова Дарина Семёновна; 5,82; 5,9; 3,89; 44; 02.10.2019; 6,12; Михеева Милана Марковна; Повседневная практика показыва; 
Соображения высшего порядка, а; Петрова Дарина Семёновна; 2,09; 6,9; 6,22; 89; 11.05.1990; 6,9; Фролова Ольга Никитична; Практический опыт показывает, ; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 9,16; 3,06; 9,28; 85; 10.01.2006; 2,21; Старостина Александра Леонидов; Задача организации, в особенно; 
Соображения высшего порядка, а; Петрова Дарина Семёновна; 7,98; 2,04; 1,13; 67; 29.10.1987; 5,99; Калашников Кирилл Кириллович; Соображения высшего порядка, а; 
Дорогие друзья, постоянный кол; Петрова Дарина Семёновна; 5,24; 7,11; 5,23; 19; 15.05.1991; 5,96; Старостина Александра Леонидов; Значимость этих проблем настол; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 5,23; 6,12; 6,12; 69; 29.09.1970; 3,89; Воробьева Антонина Адамовна; Равным образом сложившаяся стр; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 5,99; 3,89; 1,18; 24; 22.07.2000; 4,73; Ушакова Ксения Кирилловна; Не следует, однако, забывать о; 
Дорогие друзья, постоянный кол; Петрова Дарина Семёновна; 8,33; 4,51; 5,66; 10; 23.09.1987; 1,02; Шевелева Марина Васильевна; Значимость этих проблем настол; 
Соображения высшего порядка, а; Петрова Дарина Семёновна; 0,46; 8,56; 5,96; 88; 19.09.2019; 4,73; Шевелева Марина Васильевна; Не следует, однако, забывать о; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 3,89; 7,9; 5,82; 89; 01.11.2019; 5,82; Злобин Вадим Михайлович; Разнообразный и богатый опыт н; 
Практический опыт показывает, ; Петрова Дарина Семёновна; 5,5; 0,03; 2,42; 18; 20.11.1971; 1,0; Романова Наталья Дмитриевна; Значимость этих проблем настол; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 9,69; 4,5; 8,88; 99; 11.05.1990; 4,98; Ермолаев Михаил Артёмович; Соображения высшего порядка, а; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 6,27; 7,9; 6,9; 21; 12.09.2001; 7,15; Попов Максим Леонович; Не следует, однако, забывать о; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 4,61; 3,85; 7,9; 18; 01.11.2019; 5,85; Романова Наталья Дмитриевна; Задача организации, в особенно; 
Соображения высшего порядка, а; Петрова Дарина Семёновна; 8,88; 0,03; 4,5; 14; 02.10.2019; 1,02; Петровская Елизавета Саввична; Значимость этих проблем настол; 
Задача организации, в особенно; Петрова Дарина Семёновна; 8,88; 6,27; 5,9; 25; 10.01.2006; 5,24; Литвинов Тимур Ярославович; Значимость этих проблем настол; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 7,15; 0,93; 8,91; 94; 29.09.1970; 9,69; Семенов Константин Кириллович; Равным образом сложившаяся стр; 
Дорогие друзья, постоянный кол; Петрова Дарина Семёновна; 1,02; 6,12; 7,98; 43; 03.12.1982; 7,15; Иванов Георгий Константинович; Повседневная практика показыва; 
Повседневная практика показыва; Петрова Дарина Семёновна; 5,99; 7,73; 4,51; 18; 13.08.2011; 2,04; Гришин Тихон Максимович; Значимость этих проблем настол; 
Равным образом сложившаяся стр; Петрова Дарина Семёновна; 8,19; 7,95; 6,61; 99; 30.09.2002; 3,85; Гусев Роман Александрович; Не следует, однако, забывать о; 
Не следует, однако, забывать о; Петрова Дарина Семёновна; 6,61; 1,02; 2,84; 81; 30.09.2002; 5,99; Воронцова Елизавета Андреевна; Не следует, однако, забывать о; 
Задача организации, в особенно; Петрова Дарина Семёновна; 8,84; 7,98; 4,29; 69; 11.05.1990; 9,0; Сидорова Екатерина Ивановна; Значимость этих проблем настол; 
Разнообразный и богатый опыт р; Петрова Дарина Семёновна; 5,9; 6,9; 4,04; 42; 29.09.1970; 6,9; Сергеева Юлия Андреевна; Задача организации, в особенно; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 1,18; 4,72; 5,66; 95; 03.12.1982; 2,42; Петрова Дарина Семёновна; Соображения высшего порядка, а; 
Соображения высшего порядка, а; Петрова Дарина Семёновна; 9,69; 4,04; 1,18; 26; 24.01.1970; 4,5; Казаков Матвей Рустамович; Значимость этих проблем настол; 
Дорогие друзья, постоянный кол; Петрова Дарина Семёновна; 4,51; 6,49; 9,16; 2; 05.11.2021; 8,85; Михеева Милана Марковна; Значимость этих проблем настол; 
Таким образом, сложившаяся стр; Петрова Дарина Семёновна; 8,91; 4,98; 7,95; 22; 27.07.2018; 4,61; Коровина Валерия Кирилловна; Значимость этих проблем настол; 
Равным образом дальнейшее разв; Петрова Дарина Семёновна; 7,15; 3,06; 5,25; 25; 15.04.1986; 6,22; Гусев Роман Александрович; Не следует, однако, забывать о; 
Не следует, однако, забывать о; Петрова Дарина Семёновна; 3,06; 7,9; 6,5; 75; 15.04.1986; 1,18; Злобин Вадим Михайлович; Не следует, однако, забывать о; 
Не следует, однако, забывать о; Петрова Дарина Семёновна; 8,84; 6,9; 0,54; 7; 27.09.1980; 3,85; Сергеева Элина Артёмовна; С другой стороны новая модель ; 
Дорогие друзья, консультация с; Петрова Дарина Семёновна; 5,5; 3,9; 8,33; 94; 25.03.1985; 3,85; Тихонова Любовь Борисовна; Значимость этих проблем настол; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 8,19; 6,28; 7,9; 7; 22.05.2022; 6,12; Кожевников Марк Романович; Разнообразный и богатый опыт н; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 7,98; 8,4; 4,04; 94; 30.09.2002; 7,15; Агафонов Илья Павлович; Не следует, однако, забывать о; 
Не следует, однако, забывать о; Петрова Дарина Семёновна; 8,56; 4,22; 4,61; 99; 09.10.1984; 8,33; Михайлова Мира Артёмовна; Значимость этих проблем настол; 
Задача организации, в особенно; Петрова Дарина Семёновна; 5,5; 0,4; 0,93; 63; 22.07.2000; 8,88; Тихонова Любовь Борисовна; Разнообразный и богатый опыт п; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 7,98; 5,5; 8,33; 14; 09.07.2009; 1,18; Петрова Дарина Семёновна; Таким образом, постоянное инфо; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 5,85; 3,14; 8,85; 22; 09.07.2009; 6,28; Попов Максим Леонович; Не следует, однако, забывать о; 
Соображения высшего порядка, а; Петрова Дарина Семёновна; 5,55; 9,0; 5,66; 95; 20.11.2016; 0,46; Львов Владимир Константинович; Повседневная практика показыва; 
Равным образом дальнейшее разв; Петрова Дарина Семёновна; 9,16; 4,22; 8,19; 99; 25.03.1985; 3,85; Калашников Кирилл Кириллович; С другой стороны новая модель ; 
Дорогие друзья, консультация с; Петрова Дарина Семёновна; 1,13; 2,21; 6,61; 83; 29.10.1987; 7,15; Коровина Валерия Кирилловна; Соображения высшего порядка, а; 
Задача организации, в особенно; Петрова Дарина Семёновна; 1,13; 3,89; 9,9; 3; 24.01.1970; 5,25; Морозов Игорь Саввич; Соображения высшего порядка, а; 
Повседневная практика показыва; Петрова Дарина Семёновна; 0,54; 7,98; 8,4; 26; 27.05.1999; 4,61; Воробьева Антонина Адамовна; Равным образом дальнейшее разв; 
Повседневная практика показыва; Петрова Дарина Семёновна; 5,5; 6,49; 5,23; 9; 19.09.1974; 4,72; Мартынов Данила Фёдорович; Равным образом дальнейшее разв; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 3,14; 4,98; 0,46; 75; 20.11.1971; 8,19; Фролова Ольга Никитична; Равным образом сложившаяся стр; 
Разнообразный и богатый опыт н; Петрова Дарина Семёновна; 8,84; 8,91; 1,0; 29; 25.03.1985; 8,33; Гришин Тихон Максимович; Соображения высшего порядка, а; 
Задача организации, в особенно; Петрова Дарина Семёновна; 4,51; 9,16; 5,51; 24; 04.12.2022; 4,04; Мартынов Данила Фёдорович; Повседневная практика показыва; 
Задача организации, в особенно; Петрова Дарина Семёновна; 2,04; 5,9; 6,28; 27; 25.07.1991; 9,28; Журавлев Богдан Артёмович; Соображения высшего порядка, а; 
Дорогие друзья, консультация с; Петрова Дарина Семёновна; 1,02; 2,42; 5,51; 83; 25.07.1991; 5,82; Сергеева Элина Артёмовна; Не следует, однако, забывать о; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 4,72; 6,61; 8,4; 95; 30.09.2002; 7,95; Селезнев Георгий Артёмович; Разнообразный и богатый опыт п; 
Не следует, однако, забывать о; Петрова Дарина Семёновна; 4,72; 5,23; 9,0; 75; 11.08.2013; 5,99; Воробьева Антонина Адамовна; Дорогие друзья, консультация с; 
Не следует, однако, забывать о; Петрова Дарина Семёновна; 8,19; 1,17; 6,27; 59; 12.12.2004; 6,9; Зайцева Арина Давидовна; Значимость этих проблем настол; 
Повседневная практика показыва; Петрова Дарина Семёновна; 2,84; 0,93; 6,6; 76; 29.12.1992; 0,54; Михеева Милана Марковна; Соображения высшего порядка, а; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 5,82; 6,22; 8,91; 78; 13.08.2011; 2,09; Михеева Милана Марковна; Не следует, однако, забывать о; 
Задача организации, в особенно; Петрова Дарина Семёновна; 9,28; 4,04; 8,88; 14; 21.01.2018; 5,55; Сергеева Элина Артёмовна; Соображения высшего порядка, а; 
Равным образом сложившаяся стр; Петрова Дарина Семёновна; 1,02; 4,72; 3,89; 24; 27.07.2018; 5,85; Алексеева Виктория Максимовна; Не следует, однако, забывать о; 
Практический опыт показывает, ; Петрова Дарина Семёновна; 5,82; 2,42; 5,01; 76; 11.08.2013; 6,22; Зайцева Арина Давидовна; Не следует, однако, забывать о; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 1,0; 7,95; 6,22; 90; 31.10.1997; 2,09; Пименова Арина Степановна; Не следует, однако, забывать о; 
С другой стороны новая модель ; Петрова Дарина Семёновна; 9,9; 9,9; 0,4; 27; 15.05.1991; 5,66; Шевелева Марина Васильевна; Соображения высшего порядка, а; 
Соображения высшего порядка, а; Петрова Дарина Семёновна; 9,69; 6,22; 9,0; 90; 24.01.1970; 3,85; Ушакова Ксения Кирилловна; Разнообразный и богатый опыт п; 
Повседневная практика показыва; Петрова Дарина Семёновна; 6,27; 4,22; 1,51; 94; 31.10.1997; 1,0; Михайлова Мира Артёмовна; Соображения высшего порядка, а; 
Не следует, однако, забывать о; Петрова Дарина Семёновна; 4,5; 4,73; 4,5; 87; 09.10.1984; 0,54; Кононова Сафия Тимофеевна; Не следует, однако, забывать о; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 0,54; 7,98; 5,85; 99; 04.07.1999; 6,61; Захарова Кристина Адамовна; Повседневная практика показыва; 
Дорогие друзья, консультация с; Петрова Дарина Семёновна; 0,93; 6,22; 8,19; 26; 22.07.2000; 9,16; Литвинов Тимур Ярославович; Не следует, однако, забывать о; 
Не следует, однако, забывать о; Петрова Дарина Семёновна; 9,69; 7,9; 5,51; 7; 13.08.2011; 6,9; Тихонова Любовь Борисовна; Значимость этих проблем настол; 
Повседневная практика показыва; Петрова Дарина Семёновна; 9,0; 3,85; 5,51; 39; 20.11.2016; 0,46; Зайцев Степан Андреевич; Не следует, однако, забывать о; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 5,24; 4,5; 6,9; 89; 30.09.2002; 8,88; Пименова Арина Степановна; Не следует, однако, забывать о; 
Равным образом дальнейшее разв; Петрова Дарина Семёновна; 5,25; 4,29; 6,61; 53; 02.10.2019; 6,6; Симонов Максим Ильич; Разнообразный и богатый опыт р; 
Повседневная практика показыва; Петрова Дарина Семёновна; 5,14; 3,85; 9,16; 79; 11.05.1990; 2,09; Иванова Ева Семёновна; Повседневная практика показыва; 
Не следует, однако, забывать о; Петрова Дарина Семёновна; 8,4; 7,9; 5,24; 10; 09.07.2009; 4,72; Агафонов Илья Павлович; Не следует, однако, забывать о; 
Равным образом сложившаяся стр; Петрова Дарина Семёновна; 1,51; 8,91; 5,9; 49; 04.07.1999; 8,33; Ильина Василиса Михайловна; Разнообразный и богатый опыт р; 
Повседневная практика показыва; Петрова Дарина Семёновна; 8,84; 2,42; 1,18; 51; 23.09.1987; 1,51; Старостина Александра Леонидов; Соображения высшего порядка, а; 
Дорогие друзья, консультация с; Петрова Дарина Семёновна; 2,84; 5,51; 5,55; 94; 12.09.2001; 8,84; Ермолаев Михаил Артёмович; Повседневная практика показыва; 
С другой стороны новая модель ; Петрова Дарина Семёновна; 0,93; 3,14; 6,22; 95; 23.09.1987; 5,24; Михайлова Мира Артёмовна; Разнообразный и богатый опыт н; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 8,85; 7,11; 5,85; 14; 02.10.2019; 7,98; Пименова Арина Степановна; Значимость этих проблем настол; 
Разнообразный и богатый опыт н; Петрова Дарина Семёновна; 5,14; 5,9; 0,93; 27; 22.07.2000; 9,0; Гусев Роман Александрович; Задача организации, в особенно; 
Равным образом дальнейшее разв; Петрова Дарина Семёновна; 8,56; 7,15; 5,01; 59; 29.12.1992; 6,28; Воронцова Елизавета Андреевна; С другой стороны новая модель ; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 8,88; 8,33; 0,54; 88; 24.01.1970; 4,73; Зайцев Александр Романович; Значимость этих проблем настол; 
Таким образом, постоянное инфо; Петрова Дарина Семёновна; 5,24; 1,51; 9,16; 87; 29.09.1970; 9,0; Семенов Илья Максимович; Таким образом, сложившаяся стр; 
Повседневная практика показыва; Петрова Дарина Семёновна; 0,4; 6,6; 4,5; 31; 15.05.1991; 6,5; Зайцева Арина Давидовна; Дорогие друзья, консультация с; 
Повседневная практика показыва; Петрова Дарина Семёновна; 4,61; 7,98; 4,61; 55; 29.10.1987; 3,14; Симонов Максим Ильич; Таким образом, постоянное инфо; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 4,73; 4,04; 4,61; 90; 30.09.2002; 0,54; Литвинов Тимур Ярославович; Практический опыт показывает, ; 
Повседневная практика показыва; Петрова Дарина Семёновна; 5,51; 4,98; 2,84; 51; 10.01.2006; 1,51; Кожевников Марк Романович; Разнообразный и богатый опыт п; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 1,02; 2,04; 3,06; 85; 27.05.1999; 6,49; Семенов Константин Кириллович; Дорогие друзья, консультация с; 
Повседневная практика показыва; Петрова Дарина Семёновна; 2,04; 2,09; 5,96; 2; 11.05.1990; 6,9; Платонова Таисия Александровна; Таким образом, сложившаяся стр; 
Повседневная практика показыва; Петрова Дарина Семёновна; 5,51; 5,24; 7,98; 94; 02.02.2006; 2,04; Семенов Константин Кириллович; Не следует, однако, забывать о; 
Не следует, однако, забывать о; Петрова Дарина Семёновна; 1,02; 2,84; 0,54; 38; 05.11.2021; 3,9; Коровина Валерия Кирилловна; Значимость этих проблем настол; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 2,42; 6,49; 1,0; 53; 13.08.2011; 2,21; Морозов Игорь Саввич; Равным образом сложившаяся стр; 
Таким образом, сложившаяся стр; Петрова Дарина Семёновна; 0,54; 0,54; 4,98; 7; 05.11.2021; 1,13; Морозов Игорь Саввич; Таким образом, сложившаяся стр; 
Равным образом дальнейшее разв; Петрова Дарина Семёновна; 5,24; 3,14; 8,33; 95; 05.11.2021; 3,35; Фетисова Дарья Артёмовна; Разнообразный и богатый опыт п; 
С другой стороны новая модель ; Петрова Дарина Семёновна; 5,5; 0,54; 8,4; 27; 01.11.2019; 5,01; Орлова Надежда Данииловна; Дорогие друзья, постоянный кол; 
Разнообразный и богатый опыт н; Петрова Дарина Семёновна; 6,12; 6,22; 9,69; 53; 15.02.2002; 1,18; Попов Максим Леонович; Повседневная практика показыва; 
Соображения высшего порядка, а; Петрова Дарина Семёновна; 8,56; 0,06; 5,23; 95; 01.11.2019; 8,33; Иванов Георгий Константинович; Дорогие друзья, постоянный кол; 
Не следует, однако, забывать о; Петрова Дарина Семёновна; 9,28; 8,56; 5,23; 95; 23.09.1987; 5,23; Кононова Сафия Тимофеевна; Разнообразный и богатый опыт н; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 2,42; 1,17; 8,19; 86; 15.04.1986; 5,9; Сергеева Элина Артёмовна; Значимость этих проблем настол; 
Повседневная практика показыва; Петрова Дарина Семёновна; 3,9; 5,23; 9,16; 21; 03.12.1982; 5,66; Воробьева Антонина Адамовна; Разнообразный и богатый опыт р; 
Дорогие друзья, консультация с; Петрова Дарина Семёновна; 6,28; 6,9; 3,14; 90; 09.07.2009; 6,6; Тарасова Анна Фёдоровна; Значимость этих проблем настол; 
Соображения высшего порядка, а; Петрова Дарина Семёновна; 2,09; 7,98; 1,51; 31; 03.12.1982; 6,22; Коровина Валерия Кирилловна; Значимость этих проблем настол; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 3,14; 8,88; 0,06; 40; 02.10.2019; 5,66; Ушакова Ксения Кирилловна; Повседневная практика показыва; 
Соображения высшего порядка, а; Петрова Дарина Семёновна; 8,85; 8,84; 5,82; 89; 25.07.1991; 9,9; Ушакова Ксения Кирилловна; Значимость этих проблем настол; 
С другой стороны новая модель ; Петрова Дарина Семёновна; 5,25; 3,85; 4,5; 52; 27.05.1999; 5,01; Русаков Егор Фёдорович; Соображения высшего порядка, а; 
Равным образом сложившаяся стр; Петрова Дарина Семёновна; 2,84; 0,06; 5,9; 44; 25.03.1985; 2,04; Мартынов Данила Фёдорович; С другой стороны новая модель ; 
Повседневная практика показыва; Петрова Дарина Семёновна; 2,84; 4,73; 7,15; 85; 13.08.2011; 8,91; Сергеева Элина Артёмовна; Задача организации, в особенно; 
Дорогие друзья, консультация с; Петрова Дарина Семёновна; 2,84; 7,73; 1,0; 95; 01.11.2019; 3,85; Кононова Сафия Тимофеевна; Значимость этих проблем настол; 
Повседневная практика показыва; Петрова Дарина Семёновна; 4,04; 1,02; 4,5; 99; 13.08.2011; 8,84; Литвинов Тимур Ярославович; Соображения высшего порядка, а; 
Соображения высшего порядка, а; Петрова Дарина Семёновна; 6,61; 1,02; 5,24; 55; 24.01.1970; 3,85; Морозов Олег Максимович; Повседневная практика показыва; 
Дорогие друзья, постоянный кол; Петрова Дарина Семёновна; 4,5; 4,29; 0,03; 87; 02.10.2019; 0,03; Орлова Надежда Данииловна; Значимость этих проблем настол; 
Дорогие друзья, постоянный кол; Петрова Дарина Семёновна; 9,28; 3,14; 8,85; 57; 09.07.2009; 5,99; Русаков Егор Фёдорович; Соображения высшего порядка, а; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 9,69; 5,82; 8,4; 67; 19.09.2019; 8,56; Королев Семён Михайлович; Значимость этих проблем настол; 
Равным образом дальнейшее разв; Петрова Дарина Семёновна; 7,73; 4,98; 6,9; 94; 23.09.1987; 5,5; Мартынов Данила Фёдорович; Разнообразный и богатый опыт р; 
Дорогие друзья, постоянный кол; Петрова Дарина Семёновна; 3,85; 7,95; 0,46; 44; 24.01.1970; 6,61; Русаков Егор Фёдорович; Соображения высшего порядка, а; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 2,42; 6,49; 5,66; 55; 30.09.2002; 7,15; Агафонов Илья Павлович; Повседневная практика показыва; 
Не следует, однако, забывать о; Петрова Дарина Семёновна; 1,13; 0,93; 4,72; 59; 01.11.2019; 1,02; Гусев Роман Александрович; Задача организации, в особенно; 
Дорогие друзья, постоянный кол; Петрова Дарина Семёновна; 6,6; 3,14; 5,66; 88; 27.09.1980; 6,61; Петровская Елизавета Саввична; Разнообразный и богатый опыт р; 
Практический опыт показывает, ; Петрова Дарина Семёновна; 7,98; 5,01; 4,29; 27; 22.05.2022; 9,9; Калинина Ника Львовна; Значимость этих проблем настол; 
Разнообразный и богатый опыт п; Петрова Дарина Семёновна; 9,16; 9,9; 9,0; 35; 05.09.1999; 5,25; Сергеева Юлия Андреевна; Повседневная практика показыва; 
Повседневная практика показыва; Петрова Дарина Семёновна; 8,85; 4,61; 5,25; 12; 29.12.1992; 3,89; Литвинов Тимур Ярославович; Значимость этих проблем настол; 
Не следует, однако, забывать о; Петрова Дарина Семёновна; 1,51; 8,85; 0,06; 3; 01.11.2019; 5,51; Сидорова Екатерина Ивановна; Не следует, однако, забывать о; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 9,28; 1,0; 4,22; 78; 24.01.1970; 3,35; Агафонов Илья Павлович; Соображения высшего порядка, а; 
Соображения высшего порядка, а; Петрова Дарина Семёновна; 4,04; 7,98; 8,84; 88; 11.05.1990; 5,9; Гришин Тихон Максимович; Значимость этих проблем настол; 
С другой стороны новая модель ; Петрова Дарина Семёновна; 4,5; 5,85; 7,11; 27; 12.09.2001; 6,22; Платонова Таисия Александровна; Соображения высшего порядка, а; 
Разнообразный и богатый опыт р; Петрова Дарина Семёновна; 8,88; 2,09; 3,9; 14; 11.05.1990; 1,18; Симонов Максим Ильич; Разнообразный и богатый опыт р; 
Повседневная практика показыва; Петрова Дарина Семёновна; 8,56; 7,9; 5,96; 14; 29.10.1987; 3,89; Харитонова Виктория Викторовна; Соображения высшего порядка, а; 
Повседневная практика показыва; Петрова Дарина Семёновна; 3,9; 1,02; 0,06; 78; 23.09.1987; 6,27; Пименова Арина Степановна; Равным образом дальнейшее разв; 
Повседневная практика показыва; Петрова Дарина Семёновна; 2,09; 3,9; 0,03; 95; 23.09.1987; 0,54; Сидорова Екатерина Ивановна; С другой стороны новая модель ; 
Дорогие друзья, постоянный кол; Петрова Дарина Семёновна; 4,72; 2,84; 6,27; 45; 15.05.1991; 9,69; Калашников Кирилл Кириллович; Повседневная практика показыва; 
Не следует, однако, забывать о; Петрова Дарина Семёновна; 9,0; 2,21; 0,54; 43; 09.10.1984; 3,06; Тихонова Любовь Борисовна; Дорогие друзья, постоянный кол; 
Соображения высшего порядка, а; Петрова Дарина Семёновна; 6,5; 9,69; 7,73; 39; 10.01.2006; 0,93; Кожевников Марк Романович; Дорогие друзья, постоянный кол; 
Разнообразный и богатый опыт н; Петрова Дарина Семёновна; 4,51; 2,09; 8,19; 88; 24.03.1982; 4,72; Воронцова Елизавета Андреевна; Соображения высшего порядка, а; 
Не следует, однако, забывать о; Петрова Дарина Семёновна; 5,25; 7,11; 5,99; 85; 02.10.2019; 5,25; Зайцева Арина Давидовна; Повседневная практика показыва; 
Дорогие друзья, постоянный кол; Петрова Дарина Семёновна; 9,28; 2,04; 3,35; 2; 11.08.2013; 6,28; Широкова Аиша Дмитриевна; Не следует, однако, забывать о; 
Равным образом сложившаяся стр; Петрова Дарина Семёновна; 6,27; 3,06; 5,99; 94; 12.09.2001; 3,14; Гусев Роман Александрович; Дорогие друзья, постоянный кол; 
Соображения высшего порядка, а; Петрова Дарина Семёновна; 5,51; 1,02; 4,22; 39; 05.11.2021; 3,89; Гришин Тихон Максимович; Равным образом сложившаяся стр; 
Соображения высшего порядка, а; Петрова Дарина Семёновна; 3,14; 4,04; 0,93; 2; 21.01.2018; 7,15; Кононова Сафия Тимофеевна; Разнообразный и богатый опыт р; 
Задача организации, в особенно; Петрова Дарина Семёновна; 5,14; 4,98; 3,06; 45; 22.07.2000; 5,51; Литвинов Тимур Ярославович; Повседневная практика показыва; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 2,84; 6,49; 7,95; 59; 20.11.2016; 2,42; Сергеева Элина Артёмовна; Разнообразный и богатый опыт п; 
Не следует, однако, забывать о; Петрова Дарина Семёновна; 5,66; 5,25; 5,24; 67; 22.05.2022; 4,29; Широкова Аиша Дмитриевна; Практический опыт показывает, ; 
Дорогие друзья, постоянный кол; Петрова Дарина Семёновна; 2,84; 6,22; 1,0; 99; 04.07.1999; 4,04; Кононова Сафия Тимофеевна; Повседневная практика показыва; 
Равным образом дальнейшее разв; Петрова Дарина Семёновна; 5,51; 7,95; 2,09; 29; 15.05.1991; 3,35; Семенов Илья Максимович; Значимость этих проблем настол; 
